Temps	V1	Temps	V2	Fréquence	S_Amplitude
0.000155	0.381912012584507	0.000155	-1.99152330122888	6262.83651415571	0
0.00016	0.148813601583242	0.00016	-1.99705166835338	6464.86349848332	0
0.000165	-0.0953847337514162	0.000165	-2.00258003547788	6666.89048281092	0
0.00017	-0.328483144752681	0.00017	-2.00258003547788	6868.91746713852	0
0.000175	-0.528281782753766	0.000175	-2.00258003547788	7070.94445146613	0
0.00018	-0.689230685587972	0.00018	-2.00810840260237	7272.97143579373	0
0.000185	-0.778030080255121	0.000185	-2.00810840260237	7474.99842012133	0
0.00019	-0.789130004588515	0.00019	-2.01363676972687	7677.02540444894	0
0.000195	-0.716980496421456	0.000195	-2.01363676972687	7879.05238877654	0
0.0002	-0.578231442254037	0.0002	-2.01363676972687	8081.07937310415	0
0.000205	-0.383982766419649	0.000205	-2.01363676972687	8283.10635743175	0
0.00021	-0.150884355418384	0.00021	-2.00810840260237	8485.13334175935	0
0.000215	0.0933139799162745	0.000215	-2.00810840260237	8687.16032608696	0
0.00022	0.337512315250933	0.00022	-2.00810840260237	8889.18731041456	0.00447092123508242
0.000225	0.537310953252017	0.000225	-2.00810840260237	9091.21429474216	0.00407548748407728
0.00023	0.692709893919528	0.00023	-1.99705166835338	9293.24127906977	0.00823743293957853
0.000235	0.775959326419979	0.000235	-2.00258003547788	9495.26826339737	0.385933081733863
0.00024	0.781509288586676	0.00024	-1.99705166835338	9697.29524772497	0.00782527510415003
0.000245	0.714909742586315	0.000245	-1.99705166835338	9899.32223205258	0.00981857772600709
0.00025	0.570610726252198	0.00025	-1.98599493410438	10101.3492163802	0.00849742215172397
0.000255	0.381912012584507	0.000255	-1.97493819985539	10303.3762007078	0.0110133830607012
0.00026	0.154363563749939	0.00026	-1.97493819985539	10505.4031850354	0.385122933579418
0.000265	-0.0898347715847194	0.000265	-1.96940983273089	10707.430169363	0.0119279252934802
0.00027	-0.322933182585984	0.00027	-1.95835309848189	10909.4571536906	0.00572983997035515
0.000275	-0.517181858420372	0.000275	-1.9472963642329	11111.4841380182	0.00495669057647025
0.00028	-0.667030836921185	0.00028	-1.9472963642329	11313.5111223458	0
0.000285	-0.750280269421637	0.000285	-1.9307112628594	11515.5381066734	0
0.00029	-0.761380193755031	0.00029	-1.91965452861041	11717.565091001	0
0.000295	-0.683680723421276	0.000295	-1.91412616148591	11919.5920753286	0
0.0003	-0.544931669253856	0.0003	-1.90306942723691	12121.6190596562	0
0.000305	-0.361782917752862	0.000305	-1.89201269298792	12323.6460439838	0
0.00031	-0.145334393251687	0.00031	-1.88095595873892	12525.6730283114	0
0.000315	0.0933139799162745	0.000315	-1.86989922448993	12727.700012639	0
0.00032	0.309762504417449	0.00032	-1.85884249024093	12929.7269969666	0
0.000325	0.49846121808514	0.000325	-1.84778575599194	13131.7539812942	0
0.00033	0.63721027225256	0.00033	-1.84225738886744	13333.7809656218	0
0.000335	0.709359780419618	0.000335	-1.82567228749394	13535.8079499494	0
0.00034	0.714909742586315	0.00034	-1.81461555324495	13737.834934277	0
0.000345	0.642760234419256	0.000345	-1.79803045187145	13939.8619186047	0
0.00035	0.509561142418534	0.00035	-1.78697371762246	14141.8889029323	0
0.000355	0.337512315250933	0.000355	-1.77591698337346	14343.9158872599	0
0.00036	0.137713677249849	0.00036	-1.75933188199997	14545.9428715875	0
0.000365	-0.0787348472513258	0.000365	-1.74274678062648	14747.9698559151	0
0.00037	-0.284083447419107	0.00037	-1.72616167925298	14949.9968402427	0
0.000375	-0.456132274586707	0.000375	-1.70957657787949	15152.0238245703	0
0.00038	-0.583781404420733	0.00038	-1.69851984363049	15354.0508088979	0
0.000385	-0.644830988254398	0.000385	-1.6874631093815	15556.0777932255	0
0.00039	-0.661480874754488	0.00039	-1.65982127375901	15758.1047775531	0
0.000395	-0.58933136658743	0.000395	-1.64323617238551	15960.1317618807	0
0.0004	-0.472782161086798	0.0004	-1.62665107101202	16162.1587462083	0
0.000405	-0.311833258252591	0.000405	-1.61006596963853	16364.1857305359	0
0.00041	-0.1231345445849	0.00041	-1.58795250114053	16566.2127148635	0
0.000415	0.0711141312494874	0.000415	-1.57136739976704	16768.2396991911	0
0.00042	0.259812844917178	0.00042	-1.54925393126905	16970.2666835187	0
0.000425	0.409661823417991	0.000425	-1.52714046277106	17172.2936678463	0
0.00043	0.51511110458523	0.00043	-1.51055536139756	17374.3206521739	0
