Fréquence	S_Amplitude	Temps	V1
		0.002705	-0.563422597944736
		0.00271	-0.513649348169565
		0.002715	-0.447285015136003
		0.00272	-0.375390321016312
		0.002725	-0.30349562689662
		0.00273	-0.215009849518538
		0.002735	-0.126524072140455
		0.00274	-0.038038294762373
		0.002745	0.0504474826157093
		0.00275	0.133402898907661
		0.002755	0.205297593027353
		0.00276	0.277192287147045
		0.002765	0.332495898008347
		0.00277	0.382269147783518
		0.002775	0.426512036472559
		0.00278	0.443103119730949
		0.002785	0.46522456407547
		0.00279	0.4707549251616
		0.002795	0.45969420298934
		0.0028	0.437572758644819
		0.002805	0.404390592128038
		0.00281	0.365678064525127
		0.002815	0.315904814749956
		0.00282	0.266131564974785
		0.002825	0.205297593027353
		0.00283	0.149993982166052
		0.002835	0.0836296491324902
		0.00284	0.0227956771850586
		0.002845	-0.0325079336762428
		0.00285	-0.0822811834514141
		0.002855	-0.132054433226585
		0.00286	-0.176297321915627
		0.002865	-0.215009849518538
		0.00287	-0.237131293863058
		0.002875	-0.253722377121449
		0.00288	-0.264783099293709
		0.002885	-0.275843821465969
		0.00289	-0.270313460379839
		0.002895	-0.253722377121449
		0.0029	-0.237131293863058
		0.002905	-0.215009849518538
		0.00291	-0.187358044087887
		0.002915	-0.159706238657236
		0.00292	-0.120993711054325
		0.002925	-0.0933419056236744
		0.00293	-0.0656901001930237
		0.002935	-0.038038294762373
		0.00294	-0.0103864893317223
		0.002945	0.00620459392666817
		0.00295	0.0283260382711887
		0.002955	0.0449171215295792
		0.00296	0.0504474826157093
		0.002965	0.0504474826157093
		0.00297	0.0559778437018394
		0.002975	0.0449171215295792
		0.00298	0.039386760443449
		0.002985	0.0338563993573189
		0.00299	0.0227956771850586
		0.002995	0.00620459392666817
		0.003	-0.00485612824559212
		0.003005	-0.0103864893317223
		0.00301	-0.0269775725901127
		0.003015	-0.0325079336762428
		0.00302	-0.0325079336762428
		0.003025	-0.0325079336762428
		0.00303	-0.0325079336762428
		0.003035	-0.0214472115039825
		0.00304	-0.0103864893317223
		0.003045	0.00620459392666817
		0.00305	0.0283260382711887
		0.003055	0.0449171215295792
		0.00306	0.0725689269602299
		0.003065	0.0946903713047504
		0.00307	0.122342176735401
		0.003075	0.149993982166052
		0.00308	0.172115426510572
		0.003085	0.194236870855093
		0.00309	0.210827954113483
		0.003095	0.221888676285744
		0.0031	0.227419037371874
		0.003105	0.227419037371874
		0.00311	0.221888676285744
		0.003115	0.194236870855093
		0.00312	0.177645787596703
		0.003125	0.149993982166052
		0.00313	0.111281454563141
		0.003135	0.0615082047879696
		0.00314	0.0117349550127983
		0.003145	-0.0325079336762428
		0.00315	-0.0878115445375443
		0.003155	-0.148645516484976
		0.00316	-0.203949127346277
		0.003165	-0.259252738207579
		0.00317	-0.30902598798275
		0.003175	-0.353268876671791
		0.00318	-0.391981404274702
		0.003185	-0.425163570791483
		0.00319	-0.441754654049873
		0.003195	-0.458345737308264
		0.0032	-0.452815376222134
		0.003205	-0.436224292963743
		0.00321	-0.408572487533092
		0.003215	-0.369859959930182
		0.00322	-0.32561707124114
		0.003225	-0.264783099293709
		0.00323	-0.198418766260147
		0.003235	-0.126524072140455
		0.00324	-0.0435686558485031
		0.003245	0.039386760443449
		0.00325	0.127872537821531
		0.003255	0.210827954113483
		0.00326	0.293783370405436
		0.003265	0.365678064525127
		0.00327	0.443103119730949
		0.003275	0.503937091678381
		0.00328	0.553710341453552
		0.003285	0.586892507970333
		0.00329	0.614544313400984
		0.003295	0.620074674487114
		0.0033	0.609013952314854
		0.003305	0.581362146884203
		0.00331	0.542649619281292
		0.003315	0.48181564733386
		0.00332	0.415451314300299
		0.003325	0.338026259094477
		0.00333	0.238479759544134
		0.003335	0.144463621079922
		0.00334	0.0338563993573189
		0.003345	-0.076750822365284
		0.00335	-0.176297321915627
		0.003355	-0.286904543638229
		0.00336	-0.380920682102442
		0.003365	-0.480467181652784
		0.00337	-0.557892236858606
		0.003375	-0.629786930978298
		0.00338	-0.679560180753469
		0.003385	-0.723803069442511
		0.00339	-0.751454874873161
		0.003395	-0.751454874873161
		0.0034	-0.740394152700901
		0.003405	-0.70168162509799
		0.00341	-0.651908375322819
		0.003415	-0.580013681203127
		0.00342	-0.497058264911175
		0.003425	-0.408572487533092
		0.00343	-0.29796526581049
		0.003435	-0.181827683001757
		0.00344	-0.0601597391068935
		0.003445	0.0615082047879696
		0.00345	0.183176148682833
		0.003455	0.299313731491566
		0.00346	0.409920953214169
		0.003465	0.509467452764511
		0.00347	0.597953230142593
		0.003475	0.675378285348415
		0.00348	0.730681896209717
		0.003485	0.769394423812628
		0.00349	0.797046229243279
		0.003495	0.791515868157148
		0.0035	0.774924784898758
		0.003505	0.725151535123587
		0.00351	0.669847924262285
		0.003515	0.586892507970333
		0.00352	0.498406730592251
		0.003525	0.393329869955778
		0.00353	0.277192287147045
		0.003535	0.161054704338312
		0.00354	0.0449171215295792
		0.003545	-0.0878115445375443
		0.00355	-0.203949127346277
		0.003555	-0.32008671015501
		0.00356	-0.425163570791483
		0.003565	-0.524710070341825
		0.00357	-0.607665486633778
		0.003575	-0.679560180753469
		0.00358	-0.723803069442511
